Tank,MLI,Pitch,Roll,Reading,Qty
Left,2,0.5,-0.5,340.0,5480.0
Left,2,0.5,-0.5,348.0,7110.0
Left,2,0.5,0.0,0.0,2350.0
Left,2,0.5,0.0,20.0,2510.0
Left,2,0.5,0.0,40.0,2670.0
Left,2,0.5,0.0,60.0,2840.0
Left,2,0.5,0.0,80.0,3010.0
Left,2,0.5,0.0,100.0,3190.0
Left,2,0.5,0.0,120.0,3370.0
Left,2,0.5,0.0,140.0,3560.0
Left,2,0.5,0.0,160.0,3750.0
Left,2,0.5,0.0,180.0,3950.0
Left,2,0.5,0.0,200.0,4140.0
Left,2,0.5,0.0,220.0,4340.0
Left,2,0.5,0.0,240.0,4530.0
Left,2,0.5,0.0,260.0,4730.0
Left,2,0.5,0.0,280.0,4910.0
Left,2,0.5,0.0,300.0,5090.0
Left,2,0.5,0.0,320.0,5260.0
Left,2,0.5,0.0,340.0,5410.0
Left,2,0.5,0.0,348.0,7110.0
Left,2,0.5,0.5,0.0,2460.0
Left,2,0.5,0.5,20.0,2620.0
Left,2,0.5,0.5,40.0,2780.0
Left,2,0.5,0.5,60.0,2940.0
Left,2,0.5,0.5,80.0,3120.0
Left,2,0.5,0.5,100.0,3290.0
Left,2,0.5,0.5,120.0,3470.0
Left,2,0.5,0.5,140.0,3650.0
Left,2,0.5,0.5,160.0,3830.0
Left,2,0.5,0.5,180.0,4020.0
Left,2,0.5,0.5,200.0,4210.0
Left,2,0.5,0.5,220.0,4390.0
Left,2,0.5,0.5,240.0,4570.0
